
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0  13880.16      0.00  13880.16  13880.16  13880.16      0.50      0.99
                    E0 177119.13      0.00 177119.13 177119.13 177119.13      0.50       nan
                    H0   7466.36      0.00   7466.36   7466.36   7466.36      0.50      0.99
                    I0 257519.60      0.00 257519.60 257519.60 257519.60      0.50      0.99
                 beta0      6.38      0.00      6.38      6.38      6.38      0.50      0.99
  confirmed_dispersion      0.81      0.00      0.81      0.81      0.81      0.50       nan
      death_dispersion      1.18      0.00      1.18      1.18      1.18       nan       nan
            death_prob      0.42      0.00      0.42      0.42      0.42      0.50       nan
            death_rate      0.26      0.00      0.26      0.26      0.26       nan      0.99
           det_prob[0]      0.87      0.00      0.87      0.87      0.87      0.50      0.99
           det_prob[1]      0.25      0.00      0.25      0.25      0.25      0.50      0.99
           det_prob[2]      0.87      0.00      0.87      0.87      0.87      0.50      0.99
           det_prob[3]      0.54      0.00      0.54      0.54      0.54      0.50      0.99
           det_prob[4]      0.28      0.00      0.28      0.28      0.28      0.50      0.99
           det_prob[5]      0.72      0.00      0.72      0.72      0.72      0.50      0.99
           det_prob[6]      0.69      0.00      0.69      0.69      0.69      0.50      0.99
           det_prob[7]      0.61      0.00      0.61      0.61      0.61      0.50      0.99
           det_prob[8]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
           det_prob[9]      0.78      0.00      0.78      0.78      0.78      0.50      0.99
          det_prob[10]      0.41      0.00      0.41      0.41      0.41      0.50      0.99
          det_prob[11]      0.30      0.00      0.30      0.30      0.30      0.50      0.99
          det_prob[12]      0.42      0.00      0.42      0.42      0.42      0.50      0.99
          det_prob[13]      0.21      0.00      0.21      0.21      0.21      0.50      0.99
          det_prob[14]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[15]      0.80      0.00      0.80      0.80      0.80      0.50      0.99
          det_prob[16]      0.54      0.00      0.54      0.54      0.54      0.50      0.99
          det_prob[17]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[18]      0.58      0.00      0.58      0.58      0.58      0.50      0.99
          det_prob[19]      0.84      0.00      0.84      0.84      0.84      0.50       nan
          det_prob[20]      0.58      0.00      0.58      0.58      0.58      0.50      0.99
          det_prob[21]      0.83      0.00      0.83      0.83      0.83      0.50      0.99
          det_prob[22]      0.27      0.00      0.27      0.27      0.27       nan       nan
          det_prob[23]      0.26      0.00      0.26      0.26      0.26      0.50      0.99
          det_prob[24]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[25]      0.13      0.00      0.13      0.13      0.13      0.50      0.99
          det_prob[26]      0.88      0.00      0.88      0.88      0.88      0.50      0.99
          det_prob[27]      0.77      0.00      0.77      0.77      0.77      0.50      0.99
          det_prob[28]      0.88      0.00      0.88      0.88      0.88      0.50      0.99
          det_prob[29]      0.36      0.00      0.36      0.36      0.36      0.50      0.99
          det_prob[30]      0.18      0.00      0.18      0.18      0.18      0.50      0.99
          det_prob[31]      0.17      0.00      0.17      0.17      0.17      0.50      0.99
          det_prob[32]      0.65      0.00      0.65      0.65      0.65      0.50      0.99
          det_prob[33]      0.82      0.00      0.82      0.82      0.82      0.50      0.99
          det_prob[34]      0.66      0.00      0.66      0.66      0.66      0.50       nan
          det_prob[35]      0.27      0.00      0.27      0.27      0.27      0.50      0.99
          det_prob[36]      0.64      0.00      0.64      0.64      0.64      0.50      0.99
          det_prob[37]      0.86      0.00      0.86      0.86      0.86      0.50      0.99
          det_prob[38]      0.77      0.00      0.77      0.77      0.77      0.50      0.99
          det_prob[39]      0.24      0.00      0.24      0.24      0.24      0.50      0.99
          det_prob[40]      0.14      0.00      0.14      0.14      0.14       nan       nan
          det_prob[41]      0.66      0.00      0.66      0.66      0.66      0.50      0.99
          det_prob[42]      0.19      0.00      0.19      0.19      0.19      0.50      0.99
          det_prob[43]      0.59      0.00      0.59      0.59      0.59      0.50      0.99
          det_prob[44]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
          det_prob[45]      0.76      0.00      0.76      0.76      0.76       nan       nan
          det_prob[46]      0.29      0.00      0.29      0.29      0.29      0.50      0.99
          det_prob[47]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[48]      0.79      0.00      0.79      0.79      0.79      0.50      0.99
          det_prob[49]      0.40      0.00      0.40      0.40      0.40      0.50      0.99
          det_prob[50]      0.69      0.00      0.69      0.69      0.69      0.50      0.99
          det_prob[51]      0.24      0.00      0.24      0.24      0.24      0.50      0.99
          det_prob[52]      0.53      0.00      0.53      0.53      0.53      0.50      0.99
          det_prob[53]      0.57      0.00      0.57      0.57      0.57      0.50      0.99
          det_prob[54]      0.53      0.00      0.53      0.53      0.53      0.50      0.99
          det_prob[55]      0.51      0.00      0.51      0.51      0.51      0.50      0.99
          det_prob[56]      0.80      0.00      0.80      0.80      0.80      0.50      0.99
          det_prob[57]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
          det_prob[58]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[59]      0.54      0.00      0.54      0.54      0.54      0.50      0.99
          det_prob[60]      0.14      0.00      0.14      0.14      0.14      0.50      0.99
          det_prob[61]      0.57      0.00      0.57      0.57      0.57      0.50      0.99
          det_prob[62]      0.56      0.00      0.56      0.56      0.56      0.50      0.99
          det_prob[63]      0.78      0.00      0.78      0.78      0.78      0.50      0.99
          det_prob[64]      0.71      0.00      0.71      0.71      0.71      0.50       nan
          det_prob[65]      0.27      0.00      0.27      0.27      0.27      0.50      0.99
          det_prob[66]      0.66      0.00      0.66      0.66      0.66      0.50      0.99
          det_prob[67]      0.38      0.00      0.38      0.38      0.38       nan      0.99
          det_prob[68]      0.27      0.00      0.27      0.27      0.27      0.50      0.99
          det_prob[69]      0.22      0.00      0.22      0.22      0.22      0.50      0.99
          det_prob[70]      0.62      0.00      0.62      0.62      0.62      0.50      0.99
          det_prob[71]      0.22      0.00      0.22      0.22      0.22      0.50      0.99
          det_prob[72]      0.30      0.00      0.30      0.30      0.30      0.50      0.99
          det_prob[73]      0.13      0.00      0.13      0.13      0.13      0.50      0.99
          det_prob[74]      0.24      0.00      0.24      0.24      0.24      0.50      0.99
          det_prob[75]      0.55      0.00      0.55      0.55      0.55      0.50      0.99
          det_prob[76]      0.53      0.00      0.53      0.53      0.53      0.50      0.99
          det_prob[77]      0.47      0.00      0.47      0.47      0.47      0.50      0.99
          det_prob[78]      0.29      0.00      0.29      0.29      0.29      0.50       nan
          det_prob[79]      0.79      0.00      0.79      0.79      0.79      0.50      0.99
          det_prob[80]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[81]      0.56      0.00      0.56      0.56      0.56      0.50      0.99
          det_prob[82]      0.87      0.00      0.87      0.87      0.87      0.50      0.99
          det_prob[83]      0.18      0.00      0.18      0.18      0.18      0.50      0.99
          det_prob[84]      0.37      0.00      0.37      0.37      0.37      0.50      0.99
          det_prob[85]      0.37      0.00      0.37      0.37      0.37      0.50      0.99
          det_prob[86]      0.73      0.00      0.73      0.73      0.73      0.50      0.99
          det_prob[87]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[88]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
          det_prob[89]      0.77      0.00      0.77      0.77      0.77      0.50      0.99
          det_prob[90]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
          det_prob[91]      0.23      0.00      0.23      0.23      0.23      0.50      0.99
          det_prob[92]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
          det_prob[93]      0.18      0.00      0.18      0.18      0.18      0.50      0.99
          det_prob[94]      0.64      0.00      0.64      0.64      0.64      0.50      0.99
